Cluster#,GeneID,CORUM complex,Product Description,#TM Domains,Ortholog Group,Computed GO Components,Computed GO Functions,Computed GO Processes,Symbol,Phenotype Bushell 2017,Phenotype Zhang 2018
143,PF3D7_1124600,,ethanolamine kinase,0,OG5_127649,null,"transferase activity, transferring phosphorus-containing groups",null,EK,Slow,Non - Mutable in CDS
143,PF3D7_0204500,,aspartate transaminase,0,OG5_126737,null,pyridoxal phosphate binding,biosynthetic process,ASPAT,Slow,Mutable in CDS
144,PF3D7_1317900,,"small ribosomal subunit nuclear export protein, putative",0,OG5_156453,nucleus,ATP binding,null,MAL13P1.93,Slow,Non - Mutable in CDS
144,PF3D7_0518500,,"ATP-dependent RNA helicase DDX23, putative",0,OG5_128627,null,"ATP binding, nucleic acid binding",null,DDX23,Essential,Non - Mutable in CDS
145,PF3D7_1244600,,"ADP-ribosylation factor GTPase-activating protein, putative",0,OG5_127813,null,"ARF GTPase activator activity, zinc ion binding",regulation of ARF GTPase activity,ARFGAP,,Non - Mutable in CDS
145,PF3D7_1109200,,"conserved Plasmodium protein, unknown function",0,OG5_172052,intermediate filament,"protein binding, structural molecule activity",null,PF11_0540,,Non - Mutable in CDS
146,PF3D7_1343400,,"DNA repair protein RAD5, putative",0,OG5_127144,null,"ATP binding, DNA binding, protein binding, zinc ion binding",null,RAD5,Dispensable,Mutable in CDS
146,PF3D7_1104200,,chromatin remodeling protein,0,OG5_127117,null,"ATP binding, DNA binding",null,SNF2L,Essential,Non - Mutable in CDS
147,PF3D7_1111500,,"acylphosphatase, putative",0,OG5_127552,null,acylphosphatase activity,null,PF11_0121,,Mutable in CDS
147,PF3D7_0904500,,"prefoldin subunit 4, putative",0,OG5_128513,prefoldin complex,unfolded protein binding,protein folding,PFI0220W,Slow,Non - Mutable in CDS
148,PF3D7_1369400,,"conserved Plasmodium protein, unknown function",3,OG5_161682,null,null,null,MAL13P1.351,Essential,Non - Mutable in CDS
148,PKNH_1030600,,"merozoite surface protein 3, putative",0,OG5_162796,null,null,null,,,
149,PF3D7_0524000,DNA-PK-Ku-eIF2-NF90-NF45 complex,karyopherin beta,0,OG5_127537,null,binding,null,KASBETA,Dispensable,Non - Mutable in CDS
149,PF3D7_0708400,DNA-PK-Ku-eIF2-NF90-NF45 complex,heat shock protein 90,0,OG5_126623,null,"ATP binding, unfolded protein binding","protein folding, response to stress",HSP90,Slow,Non - Mutable in CDS
149,PF3D7_1345700,DNA-PK-Ku-eIF2-NF90-NF45 complex,"isocitrate dehydrogenase [NADP], mitochondrial",0,OG5_127057,null,"NAD binding, isocitrate dehydrogenase (NADP+) activity, magnesium ion binding","isocitrate metabolic process, oxidation-reduction process",IDH,Slow,Non - Mutable in CDS
149,PF3D7_1410600,DNA-PK-Ku-eIF2-NF90-NF45 complex,"eukaryotic translation initiation factor 2 subunit gamma, putative",0,OG5_127447,null,"GTP binding, GTPase activity",null,EIF2GAMMA,,Non - Mutable in CDS
149,PF3D7_0217900,DNA-PK-Ku-eIF2-NF90-NF45 complex,"conserved Plasmodium protein, unknown function",0,OG5_164154,null,carboxylic ester hydrolase activity,null,PF02_0170,,Non - Mutable in CDS
149,PF3D7_1461900,DNA-PK-Ku-eIF2-NF90-NF45 complex,"valine--tRNA ligase, putative",0,OG5_126723,null,"ATP binding, aminoacyl-tRNA editing activity, valine-tRNA ligase activity",valyl-tRNA aminoacylation,PF14_0589,Essential,Non - Mutable in CDS
149,PF3D7_1225800,DNA-PK-Ku-eIF2-NF90-NF45 complex,ubiquitin-activating enzyme E1,0,OG5_127070,null,"ATP binding, small protein activating enzyme activity",cellular protein modification process,UBA1,Dispensable,Non - Mutable in CDS
149,PF3D7_1012600,DNA-PK-Ku-eIF2-NF90-NF45 complex,GMP synthase [glutamine-hydrolyzing],0,OG5_127152,null,"ATP binding, GMP synthase (glutamine-hydrolyzing) activity, pyrophosphatase activity",GMP biosynthetic process,GMPS,Slow,Non - Mutable in CDS
149,PF3D7_0934800,DNA-PK-Ku-eIF2-NF90-NF45 complex,cAMP-dependent protein kinase catalytic subunit,0,OG5_126748,null,"ATP binding, protein serine/threonine kinase activity",protein phosphorylation,PKAC,Essential,Non - Mutable in CDS
149,PF3D7_1344200,DNA-PK-Ku-eIF2-NF90-NF45 complex,"heat shock protein 110, putative",0,OG5_128359,null,null,null,HSP110,Essential,Non - Mutable in CDS
149,PF3D7_1451100,DNA-PK-Ku-eIF2-NF90-NF45 complex,elongation factor 2,0,OG5_126923,null,"GTP binding, GTPase activity",null,EEF2,Essential,Non - Mutable in CDS
149,PF3D7_1436600,DNA-PK-Ku-eIF2-NF90-NF45 complex,cGMP-dependent protein kinase,0,OG5_127599,null,"ATP binding, protein serine/threonine kinase activity",protein phosphorylation,PKG,,Non - Mutable in CDS
149,PF3D7_0728000,DNA-PK-Ku-eIF2-NF90-NF45 complex,"eukaryotic translation initiation factor 2 subunit alpha, putative",0,OG5_127433,eukaryotic translation initiation factor 2 complex,translation initiation factor activity,null,PF07_0117,,Non - Mutable in CDS
149,PF3D7_1010600,DNA-PK-Ku-eIF2-NF90-NF45 complex,eukaryotic translation initiation factor 2 subunit beta,0,OG5_127339,null,translation initiation factor activity,translational initiation,EIF2BETA,,Non - Mutable in CDS
150,PF3D7_0311800,,"conserved protein, unknown function",0,OG5_147463,null,null,null,MAL3P4.13,Slow,Non - Mutable in CDS
150,PF3D7_1125100,,"conserved Apicomplexan protein, unknown function",1,OG5_145123,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",hydrogen ion transmembrane transporter activity,ATP synthesis coupled proton transport,PF11_0262,,Non - Mutable in CDS
151,PF3D7_0527500,,Hsc70-interacting protein,0,OG5_129249,null,protein binding,null,HIP,,Non - Mutable in CDS
151,PF3D7_1011800,,PRE-binding protein,0,OG5_141018,null,RNA binding,null,PREBP,Essential,Non - Mutable in CDS
151,PF3D7_0206700,,adenylosuccinate lyase,0,OG5_130883,null,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity",IMP biosynthetic process,ADSL,Essential,Non - Mutable in CDS
151,PF3D7_0826500,,"ubiquitin conjugation factor E4 B, putative",0,OG5_128694,ubiquitin ligase complex,ubiquitin-ubiquitin ligase activity,"protein ubiquitination, ubiquitin-dependent protein catabolic process",UBE4B,Slow,Mutable in CDS
151,PF3D7_1361100,,protein transport protein Sec24A,0,OG5_127297,COPII vesicle coat,zinc ion binding,"ER to Golgi vesicle-mediated transport, intracellular protein transport",SEC24A,Slow,Non - Mutable in CDS
151,PF3D7_0624000,,hexokinase,0,OG5_126743,null,"ATP binding, glucose binding, phosphotransferase activity, alcohol group as acceptor","carbohydrate metabolic process, carbohydrate phosphorylation, cellular glucose homeostasis",HK,Essential,Non - Mutable in CDS
151,PF3D7_1244100,,"N-alpha-acetyltransferase 15, NatA auxiliary subunit, putative",0,OG5_127529,"cytoplasm, nucleus",protein binding,null,2277.T00424,,Non - Mutable in CDS
151,PF3D7_0102900,,aspartate--tRNA ligase,0,OG5_127227,cytoplasm,"ATP binding, aspartate-tRNA ligase activity, nucleic acid binding",aspartyl-tRNA aminoacylation,MAL1P1.20,Essential,Non - Mutable in CDS
151,PF3D7_1454400,,aminopeptidase P,1,OG5_127189,null,hydrolase activity,null,APP,Essential,Non - Mutable in CDS
151,PF3D7_1138500,,protein phosphatase 2C,0,OG5_126741,null,"catalytic activity, cation binding",null,PPM2,Slow,Non - Mutable in CDS
151,PF3D7_1213800,,proline--tRNA ligase,0,OG5_127154,cytoplasm,"ATP binding, aminoacyl-tRNA editing activity, proline-tRNA ligase activity",prolyl-tRNA aminoacylation,PRS,Essential,Non - Mutable in CDS
151,PF3D7_0822600,,protein transport protein SEC23,0,OG5_127203,COPII vesicle coat,zinc ion binding,"ER to Golgi vesicle-mediated transport, intracellular protein transport",SEC23,Essential,Non - Mutable in CDS
151,PF3D7_0602100,,"ATP-dependent RNA helicase, putative",0,OG5_127259,null,"ATP binding, hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides, nucleic acid binding",null,2270.T00294,Essential,Non - Mutable in CDS
152,PF3D7_1123900,FIB-associated protein complex,"splicing factor, putative",0,OG5_127322,null,RNA binding,null,PF11_0250,,Non - Mutable in CDS
152,PF3D7_0827900,FIB-associated protein complex,protein disulfide isomerase,1,OG5_126843,endoplasmic reticulum,isomerase activity,cell redox homeostasis,PDI8,Essential,Non - Mutable in CDS
152,PF3D7_1108600,FIB-associated protein complex,endoplasmic reticulum-resident calcium binding protein,0,OG5_129808,null,calcium ion binding,null,ERC,,Non - Mutable in CDS
152,PF3D7_0903700,FIB-associated protein complex,alpha tubulin 1,0,OG5_126605,"microtubule, protein complex","GTP binding, GTPase activity, structural constituent of cytoskeleton","GTP catabolic process, microtubule-based process, protein polymerization",PFI0180W,Dispensable,Non - Mutable in CDS
152,PF3D7_0422300,FIB-associated protein complex,alpha tubulin 2,0,OG5_126605,protein complex,"GTP binding, GTPase activity, structural constituent of cytoskeleton","GTP catabolic process, protein polymerization",MAL4P1.205,Essential,Non - Mutable in CDS
152,PF3D7_0922200,FIB-associated protein complex,S-adenosylmethionine synthetase,0,OG5_126734,null,"ATP binding, methionine adenosyltransferase activity",S-adenosylmethionine biosynthetic process,SAMS,,Non - Mutable in CDS
152,PF3D7_1008700,FIB-associated protein complex,tubulin beta chain,0,OG5_126611,protein complex,"GTP binding, GTPase activity","GTP catabolic process, protein polymerization",PF10_0084,Essential,Non - Mutable in CDS
152,PF3D7_1361900,FIB-associated protein complex,proliferating cell nuclear antigen 1,0,OG5_127352,null,"DNA binding, DNA polymerase processivity factor activity",regulation of DNA replication,PCNA1,,Non - Mutable in CDS
153,PF3D7_1247900,,"nucleolar rRNA processing protein, putative",0,OG5_128132,small-subunit processome,null,rRNA processing,2277.T00459,,Non - Mutable in CDS
153,PF3D7_1129400,,"rRNA (cytosine-C(5))-methyltransferase, putative",0,OG5_126796,null,"RNA binding, S-adenosylmethionine-dependent methyltransferase activity",rRNA processing,NOP2,Essential,Non - Mutable in CDS
154,PF3D7_0805700,,"serine/threonine protein kinase, FIKK family",0,OG5_145292,null,"ATP binding, protein kinase activity",protein phosphorylation,FIKK8,Slow,Mutable in CDS
154,PF3D7_1215900,,"serpentine receptor, putative",8,OG5_128246,integral component of membrane,null,null,SR10,Dispensable,Mutable in CDS
155,PF3D7_1408800,,"conserved Plasmodium protein, unknown function",0,OG5_167253,intermediate filament,structural molecule activity,null,PF14_0085,,Mutable in CDS
155,PF3D7_1205600,,"conserved Plasmodium protein, unknown function",0,OG5_140504,null,protein binding,null,2277.T00057,Essential,Non - Mutable in CDS
156,PF3D7_1110700,,"actin-like protein, putative",0,OG5_141753,cytoplasm,ATP binding,null,ALP1,Slow,Non - Mutable in CDS
156,PF3D7_1408900,,"tRNA-dihydrouridine synthase, putative",0,OG5_127749,null,"flavin adenine dinucleotide binding, tRNA dihydrouridine synthase activity","oxidation-reduction process, tRNA processing",PF14_0086,Dispensable,Mutable in CDS
157,PKNH_1247700,,"Plasmodium exported protein (PHIST), unknown function",1,OG5_243591,null,null,null,,,
157,PF3D7_0420400,,ribosome-recycling factor,0,OG5_155265,null,null,translation,RRF2,Dispensable,Non - Mutable in CDS
158,PF3D7_0217500,,calcium-dependent protein kinase 1,0,OG5_126600,null,"ATP binding, calcium ion binding, protein kinase activity",protein phosphorylation,CDPK1,Dispensable,Non - Mutable in CDS
158,PF3D7_1037100,,pyruvate kinase 2,0,OG5_144357,null,"magnesium ion binding, potassium ion binding, pyruvate kinase activity",glycolytic process,PYKII,Essential,Non - Mutable in CDS
159,PF3D7_1126000,,threonine--tRNA ligase,0,OG5_126764,cytoplasm,"ATP binding, threonine-tRNA ligase activity",threonyl-tRNA aminoacylation,THRRS,Essential,Non - Mutable in CDS
159,PF3D7_1123100,,calcium-dependent protein kinase 7,0,OG5_131887,null,"ATP binding, calcium ion binding, protein kinase activity",protein phosphorylation,CDPK7,Essential,Non - Mutable in CDS
159,PF3D7_1349200,,"glutamate--tRNA ligase, putative",0,OG5_128638,cytoplasm,"ATP binding, glutamate-tRNA ligase activity",glutamyl-tRNA aminoacylation,PF13_0257,Essential,Non - Mutable in CDS
160,PF3D7_1103600,,"actin-like protein, putative",0,OG5_141749,dynactin complex,null,null,ALP2A,Slow,Non - Mutable in CDS
160,PF3D7_1311300,,"ATP synthase subunit gamma, mitochondrial",0,OG5_127077,"proton-transporting ATP synthase complex, catalytic core F(1)","proton-transporting ATP synthase activity, rotational mechanism, proton-transporting ATPase activity, rotational mechanism",ATP synthesis coupled proton transport,PF13_0061,Slow,Non - Mutable in CDS
160,PF3D7_0719300,,"actin-related protein, putative",0,OG5_145110,nucleus,null,chromatin remodeling,ARP6,Dispensable,Non - Mutable in CDS
160,PF3D7_1464900,,"ATP-dependent zinc metalloprotease FTSH, putative",0,OG5_126616,membrane,"ATP binding, metalloendopeptidase activity",proteolysis,PF14_0616,,Non - Mutable in CDS
161,PF3D7_1110400,,asparagine-rich antigen,0,OG5_165212,null,"nucleic acid binding, nucleotide binding",null,PF11_0111,Essential,Non - Mutable in CDS
161,PF3D7_0418500,,"trafficking protein particle complex subunit 3, putative",0,OG5_128128,null,null,null,BET3,Slow,Non - Mutable in CDS
162,PKNH_1138800,,"SICAvar, type I (fragment)",0,OG5_126656,null,null,null,,,
162,PF3D7_1369400,,"conserved Plasmodium protein, unknown function",3,OG5_161682,null,null,null,MAL13P1.351,Essential,Non - Mutable in CDS
163,PF3D7_1457400,,"conserved Plasmodium protein, unknown function",2,OG5_160950,membrane,null,null,PF14_0547,,Non - Mutable in CDS
163,PF3D7_1211200,,"conserved Plasmodium protein, unknown function",0,OG5_160809,null,null,null,2277.T00112,Essential,Non - Mutable in CDS
164,PF3D7_0610500,,"peptidyl-tRNA hydrolase PTRHD1, putative",0,OG5_130573,null,aminoacyl-tRNA hydrolase activity,null,2270.T00210,Dispensable,Non - Mutable in CDS
164,PF3D7_0714500,,"transcription elongation factor s-II, putative",0,OG5_127402,nucleus,"DNA binding, zinc ion binding","regulation of DNA-templated transcription, elongation, regulation of transcription from RNA polymerase II promoter, transcription, DNA-templated",PF07_0057,Essential,Non - Mutable in CDS
164,PF3D7_0520300,,"U6 snRNA-associated Sm-like protein LSm2, putative",0,OG5_128865,null,null,mRNA processing,LSM2,Essential,Non - Mutable in CDS
165,PF3D7_1238900,,protein kinase 2,0,OG5_139549,null,"ATP binding, protein kinase activity",protein phosphorylation,PK2,,Non - Mutable in CDS
165,PF3D7_1219100,,"clathrin heavy chain, putative",0,OG5_127480,"clathrin coat of coated pit, clathrin coat of trans-Golgi network vesicle","binding, structural molecule activity","intracellular protein transport, vesicle-mediated transport",2277.T00186,Essential,Non - Mutable in CDS
166,PF3D7_0706000,,"importin-7, putative",0,OG5_127731,null,"Ran GTPase binding, protein transporter activity","cell proliferation, intracellular protein transport, protein import into nucleus, docking",MAL7P1.202,Slow,Non - Mutable in CDS
166,PF3D7_1328500,,"alpha/beta-hydrolase, putative",0,OG5_190097,null,null,null,PF13_0153,,Mutable in CDS
167,PF3D7_1250500,,"AP-3 complex subunit sigma, putative",0,OG5_128281,AP-3 adaptor complex,protein transporter activity,"protein transport, vesicle-mediated transport",2277.T00485,Slow,Non - Mutable in CDS
167,PF3D7_0904100,,"AP-4 complex subunit epsilon, putative",0,OG5_130626,membrane coat,binding,"intracellular protein transport, vesicle-mediated transport",PFI0200C,Essential,Non - Mutable in CDS
168,PF3D7_1344800,,aspartate carbamoyltransferase,1,OG5_128535,null,"amino acid binding, aspartate carbamoyltransferase activity","'de novo' pyrimidine nucleobase biosynthetic process, cellular amino acid metabolic process",ATCASE,Essential,Non - Mutable in CDS
168,PF3D7_0621200,,pyridoxine biosynthesis protein PDX1,0,OG5_128957,null,catalytic activity,pyridoxal phosphate biosynthetic process,PDX1,Dispensable,Mutable in CDS
169,PF3D7_0516700,,"ubiquitin carboxyl-terminal hydrolase 2, putative",0,OG5_127522,null,ubiquitinyl hydrolase activity,ubiquitin-dependent protein catabolic process,MAL5P1.167,Slow,Mutable in CDS
169,PF3D7_0602200,,"MYND finger protein, putative",0,OG5_134284,null,null,null,2270.T00293,,Non - Mutable in CDS
170,PF3D7_0816700,,"trafficking protein particle complex subunit 2-like protein, putative",0,OG5_129611,"Golgi apparatus, endoplasmic reticulum, intracellular",null,ER to Golgi vesicle-mediated transport,TRAPPC2L,,Non - Mutable in CDS
170,PF3D7_1223700,,vacuolar iron transporter,5,OG5_129047,null,null,null,VIT,Dispensable,Non - Mutable in CDS
171,PF3D7_1343000,,phosphoethanolamine N-methyltransferase,0,OG5_132295,null,null,null,PMT,,Non - Mutable in CDS
171,PF3D7_0728700,,"alpha/beta hydrolase, putative",0,OG5_135236,null,hydrolase activity,null,MAL7P1.156,,Non - Mutable in CDS
171,PF3D7_1120000,,"conserved Plasmodium protein, unknown function",0,OG5_156750,cytoplasm,ATP binding,null,PF11_0207,Slow,Non - Mutable in CDS
172,PF3D7_0520300,,"U6 snRNA-associated Sm-like protein LSm2, putative",0,OG5_128865,null,null,mRNA processing,LSM2,Essential,Non - Mutable in CDS
172,PF3D7_0828500,,"translation initiation factor eIF-2B subunit alpha, putative",0,OG5_127805,null,null,cellular metabolic process,PF08_0009,Slow,Non - Mutable in CDS
173,PF3D7_1105100,,histone H2B,0,OG5_126572,"nucleosome, nucleus","DNA binding, protein heterodimerization activity",null,H2B,Essential,
173,PF3D7_1202600,,"conserved protein, unknown function",0,OG5_127300,"membrane, mitochondrion",null,null,2277.T00026,,Non - Mutable in CDS
173,PKNH_1457400,,"merozoite surface protein 3, putative",0,OG5_162796,null,null,null,,,
174,PF3D7_1419700,,"conserved Plasmodium protein, unknown function",0,OG5_162906,"cytoplasm, nucleus",null,null,PF14_0191,,Non - Mutable in CDS
174,PF3D7_0612100,,"eukaryotic translation initiation factor 3 subunit L, putative",2,OG5_128650,eukaryotic translation initiation factor 3 complex,translation initiation factor activity,null,EIF3L,Slow,Mutable in CDS
174,PF3D7_0310600,,"eukaryotic translation initiation factor 3 subunit K, putative, unspecified product",0,OG5_129022,eukaryotic translation initiation factor 3 complex,"binding, translation initiation factor activity",null,PF3D7_0310600.1,Slow,
175,PF3D7_1442100,,"replication factor A protein 3, putative",0,OG5_143364,"cytoplasm, nucleus",DNA binding,"DNA recombination, DNA repair, DNA replication",RPA3,Essential,Non - Mutable in CDS
175,PF3D7_0904800,,"replication protein A1, small fragment",0,OG5_141760,null,nucleic acid binding,null,RPA1,,Non - Mutable in CDS
175,PF3D7_1112400,,"conserved Plasmodium protein, unknown function",0,OG5_165259,null,"nucleic acid binding, single-stranded telomeric DNA binding",telomere capping,PF11_0130,,Mutable in CDS
176,PF3D7_0906500,,arginase,0,OG5_128245,null,metal ion binding,null,PFI0320W,,Mutable in CDS
176,PF3D7_0720800,,"Ham1-like protein, putative",0,OG5_126970,null,hydrolase activity,null,MAL7P1.110,,Non - Mutable in CDS
177,PF3D7_0729200,,1-cys peroxiredoxin,1,OG5_127915,null,oxidoreductase activity,null,AOP,Dispensable,Mutable in CDS
177,PF3D7_0305700,,"ubiquitin-conjugating enzyme E2, putative",0,OG5_127771,null,acid-amino acid ligase activity,null,MAL3P2.20,Essential,Non - Mutable in CDS
177,PF3D7_1333400,,"conserved protein, unknown function",0,OG5_127328,null,null,null,MAL13P1.172,Dispensable,Mutable in CDS
178,PF3D7_0522800,,"pre-mRNA-splicing factor BUD31, putative",0,OG5_128043,nucleus,null,null,BUD31,Essential,Non - Mutable in CDS
178,PKNH_0900100,,"SICAvar, type I",0,OG5_126656,null,null,null,,,
178,PF3D7_1116300,,peptidyl-prolyl cis-trans isomerase,0,OG5_129069,null,peptidyl-prolyl cis-trans isomerase activity,"protein folding, protein peptidyl-prolyl isomerization",CYP19C,,Non - Mutable in CDS
179,PF3D7_0109800,,phenylalanine--tRNA ligase alpha subunit,0,OG5_127036,cytoplasm,"ATP binding, phenylalanine-tRNA ligase activity, tRNA binding",phenylalanyl-tRNA aminoacylation,CPHERS,Essential,Non - Mutable in CDS
179,PF3D7_1216900,,"DNA-binding chaperone, putative",0,OG5_128294,null,"DNA binding, chromatin binding",null,2277.T00163,Essential,Non - Mutable in CDS
180,PF3D7_1308900,,"mRNA-decapping enzyme 2, putative",0,OG5_128366,null,"RNA binding, hydrolase activity, manganese ion binding",null,DCP2,,Mutable in CDS
180,PF3D7_1333200,,ubiquitin-activating enzyme,3,OG5_146901,null,"ATP binding, small protein activating enzyme activity",cellular protein modification process,UBA1,Essential,Non - Mutable in CDS
181,PKNH_API01000,,large subunit ribosomal RNA,null,PKNH_API01000,null,null,null,,,
181,PF3D7_1342800,,phosphoenolpyruvate carboxykinase,0,OG5_128435,null,"ATP binding, phosphoenolpyruvate carboxykinase (ATP) activity",gluconeogenesis,PEPCK,Dispensable,Non - Mutable in CDS
181,PF3D7_1242800,,rab specific GDP dissociation inhibitor,0,OG5_127353,null,oxidoreductase activity,"oxidation-reduction process, protein transport, small GTPase mediated signal transduction",RABGDI,,Non - Mutable in CDS
182,PF3D7_1212500,,glycerol-3-phosphate 1-O-acyltransferase,3,OG5_130377,null,"transferase activity, transferring acyl groups",metabolic process,GAT,Essential,Non - Mutable in CDS
182,PF3D7_0215300,,acyl-CoA synthetase,0,OG5_136613,null,catalytic activity,metabolic process,ACS8,Dispensable,Mutable in CDS
183,PF3D7_0706500,,"conserved Plasmodium protein, unknown function",0,OG5_150034,cytoplasm,"GTP binding, GTPase activity, translation initiation factor activity",translation,MAL7P1.204,,Mutable in CDS
183,PF3D7_1029400,,"LEM3/CDC50 family protein, putative",2,OG5_143201,"integral component of membrane, membrane",null,null,PF10_0287,,Non - Mutable in CDS
184,PF3D7_0419600,,"ran-specific GTPase-activating protein 1, putative",0,OG5_127714,null,null,intracellular transport,RANBP1,,Mutable in CDS
184,PF3D7_0917900,,heat shock protein 70,0,OG5_126588,null,null,null,HSP70-2,,Non - Mutable in CDS
184,PF3D7_1124600,,ethanolamine kinase,0,OG5_127649,null,"transferase activity, transferring phosphorus-containing groups",null,EK,Slow,Non - Mutable in CDS
184,PF3D7_1437200,,"ribonucleoside-diphosphate reductase large subunit, putative",0,OG5_126839,null,"ATP binding, ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor","DNA replication, oxidation-reduction process",PF14_0352,Essential,Non - Mutable in CDS
184,PF3D7_1346300,,DNA/RNA-binding protein Alba 2,0,OG5_167431,null,nucleic acid binding,null,ALBA2,Dispensable,Non - Mutable in CDS
184,PF3D7_0815200,,"importin beta, putative",0,OG5_127843,null,Ran GTPase binding,intracellular protein transport,PF08_0069,Essential,Non - Mutable in CDS
184,PF3D7_0525100,,acyl-CoA synthetase,0,OG5_126601,null,catalytic activity,metabolic process,ACS10,,Non - Mutable in CDS
184,PF3D7_1451100,,elongation factor 2,0,OG5_126923,null,"GTP binding, GTPase activity",null,EEF2,Essential,Non - Mutable in CDS
184,PF3D7_1454700,,"6-phosphogluconate dehydrogenase, decarboxylating, putative",0,OG5_127175,null,"NADP binding, phosphogluconate dehydrogenase (decarboxylating) activity",pentose-phosphate shunt,PF14_0520,Essential,Non - Mutable in CDS
184,PF3D7_0818900,,heat shock protein 70,0,OG5_126588,null,null,null,HSP70,Essential,Non - Mutable in CDS
184,PF3D7_1324900,,L-lactate dehydrogenase,1,OG5_126911,null,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","cellular carbohydrate metabolic process, oxidation-reduction process",LDH,Essential,Non - Mutable in CDS
184,PF3D7_1134000,,heat shock protein 70,0,OG5_126744,null,"ATP binding, unfolded protein binding",protein folding,HSP70-3,,Non - Mutable in CDS
184,PF3D7_1434300,,Hsp70/Hsp90 organizing protein,0,OG5_128289,null,protein binding,null,HOP,Dispensable,Non - Mutable in CDS
185,PF3D7_0718000,,"dynein heavy chain, putative",2,OG5_157175,dynein complex,microtubule motor activity,microtubule-based movement,MAL7P1.89,Slow,Mutable in CDS
185,PKNH_0413500,,"cysteine protease, putative",0,OG5_pkno|PKH_041240,null,null,null,,,
185,PF3D7_1473100,,"GTPase-activating protein, putative",0,OG5_128791,null,Rab GTPase activator activity,regulation of Rab GTPase activity,PF14_0699,Essential,Non - Mutable in CDS
185,PF3D7_1347500,,DNA/RNA-binding protein Alba 4,0,OG5_153563,null,nucleic acid binding,null,ALBA4,Slow,Non - Mutable in CDS
186,PF3D7_0726500,,"ubiquitin carboxyl-terminal hydrolase, putative",0,OG5_127773,null,"protein binding, ubiquitinyl hydrolase activity",ubiquitin-dependent protein catabolic process,MAL7P1.147,Essential,Non - Mutable in CDS
186,PF3D7_1012700,,"NLI interacting factor-like phosphatase, putative",0,OG5_146906,null,protein binding,null,NIF4,,Non - Mutable in CDS
187,PKNH_0821600,,"elongation factor 1, putative",0,OG5_132876,eukaryotic translation elongation factor 1 complex,translation elongation factor activity,translational elongation,,,
187,PF3D7_0211400,,beta-ketoacyl-ACP synthase III,0,OG5_129509,null,3-oxoacyl-[acyl-carrier-protein] synthase activity,fatty acid biosynthetic process,KASIII,Slow,Mutable in CDS
188,PF3D7_0308500,,"activator of Hsp90 ATPase, putative",0,OG5_128037,null,null,response to stress,MAL3P3.21,Slow,Non - Mutable in CDS
188,PF3D7_1451700,,calcineurin subunit B,0,OG5_127723,null,calcium ion binding,null,CNB,Slow,Non - Mutable in CDS
189,PF3D7_0903400,,"ATP-dependent RNA helicase DDX60, putative",0,OG5_130134,null,"ATP binding, nucleic acid binding",null,DDX60,Essential,Non - Mutable in CDS
189,PF3D7_0309700,,"SECIS-binding protein 2, putative",0,OG5_158813,null,null,null,SBP2,Dispensable,Mutable in CDS
190,PF3D7_1308400,,"conserved Plasmodium protein, unknown function",3,OG5_153839,null,null,null,MAL13P1.39,Essential,Non - Mutable in CDS
190,PF3D7_1239200,,transcription factor with AP2 domain(s),0,OG5_153590,null,sequence-specific DNA binding transcription factor activity,"regulation of transcription, DNA-templated",APIAP2,,Non - Mutable in CDS
190,PF3D7_1433400,,"conserved Plasmodium membrane protein, unknown function",12,OG5_157703,"cytoplasm, membrane","protein binding, zinc ion binding",null,PF14_0315,Essential,Non - Mutable in CDS
190,PF3D7_1326600,,"conserved Plasmodium protein, unknown function",0,OG5_160667,integral component of membrane,null,null,PF13_0148,Essential,Mutable in CDS
191,PF3D7_0904000,,"GTPase-activating protein, putative",0,OG5_134579,null,Rab GTPase activator activity,regulation of Rab GTPase activity,PFI0195C,Slow,Non - Mutable in CDS
191,PF3D7_0813400,,"conserved Plasmodium protein, unknown function",0,OG5_165422,nucleus,nucleotide binding,null,MAL8P1.94,Essential,Non - Mutable in CDS
192,PKNH_1401700,,"Plasmodium exported protein, unknown function",0,OG5_165136,null,null,null,,,
192,PF3D7_0809600,,"peptidase family C50, putative",5,OG5_154802,nucleus,peptidase activity,proteolysis,MAL8P1.113,Essential,Non - Mutable in CDS
193,PF3D7_1337200,,1-deoxy-D-xylulose 5-phosphate synthase,1,OG5_129068,null,1-deoxy-D-xylulose-5-phosphate synthase activity,terpenoid biosynthetic process,DXS,,Non - Mutable in CDS
193,PF3D7_1244000,,"glucose inhibited division protein a homologue, putative",1,OG5_127775,membrane,"flavin adenine dinucleotide binding, oxidoreductase activity","oxidation-reduction process, tRNA processing",2277.T00423,Essential,Non - Mutable in CDS
194,PF3D7_1413800,,"diphthamide biosynthesis protein 1, putative",0,OG5_127598,cytoplasm,null,peptidyl-diphthamide biosynthetic process from peptidyl-histidine,DPH1,,Non - Mutable in CDS
194,PF3D7_1412600,,deoxyhypusine synthase,1,OG5_127351,null,null,peptidyl-lysine modification to peptidyl-hypusine,DHS,Essential,Non - Mutable in CDS
